Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 12/21  01:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.20826218021684,-18.210793929295464,-0.03595789011823891,-0.03602901316962552 
 12/21  02:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.20835106977728,-18.210880849861196,-0.03539414564154608,-0.03546415517091279 
 12/21  03:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208438564444465,-18.210966407650106,-0.03483922704746423,-0.0349081404208947 
 12/21  04:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208524686100135,-18.211050623999026,-0.03429299660994234,-0.034360830945689448 
 12/21  05:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208609456283037,-18.211133519911806,-0.03375531872477611,-0.033822090865962609 
 12/21  06:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208692896194284,-18.2112151160644,-0.033226059900528518,-0.03329178642654228 
 12/21  07:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208775026702655,-18.211295432810009,-0.032705088708370858,-0.03276978594497853 
 12/21  08:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208855868349766,-18.21137449018404,-0.03219227575513717,-0.032255959773390869 
 12/21  09:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.208935441355217,-18.21145230790907,-0.03168749365057222,-0.03175018027649759 
 12/21  10:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.20901376562162,-18.21152890539967,-0.03119061698607073,-0.03125232180060496 
 12/21  11:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209090860739566,-18.21160430176719,-0.030701522298475227,-0.03076226063292386 
 12/21  12:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209166745992506,-18.211678515824447,-0.030220088035278537,-0.03027987498158332 
 12/21  13:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209241440361539,-18.2117515660904,-0.029746194532520588,-0.029805044962809187 
 12/21  14:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.2093149625302,-18.211823470794678,-0.029279723977533757,-0.02933765252461722 
 12/21  15:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209387330889049,-18.21189424788207,-0.028820560395359519,-0.028877581465172526 
 12/21  16:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.20945856354031,-18.211963915016967,-0.028368589609854224,-0.028424717389564245 
 12/21  17:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209528678302357,-18.2120324895877,-0.027923699212542897,-0.02797894765960447 
 12/21  18:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209597692714185,-18.212099988710827,-0.027485778558306696,-0.027540161410776508 
 12/21  19:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209665624039756,-18.212166429235397,-0.027054718703704684,-0.02710824949607612 
 12/21  20:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.20973248927233,-18.21223182774707,-0.026630412403503724,-0.02668310446706009 
 12/21  21:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.20979830513868,-18.212296200572216,-0.026212754080852997,-0.026264620517563447 
 12/21  22:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209863088103295,-18.212359563781935,-0.025801639807525146,-0.025852693524620976 
 12/21  23:00:00,-15.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.209926854372467,-18.21242193319609,-0.025396967264008198,-0.025447220975399998 
 12/21  24:00:00,-15.5,0.0,10.,0.0,30412800.0,0.0,-30412800.0,-18.14471328242762,-17.463534708984758,0.5318681324987274,7.151445430466874,-18.14471328242762,-17.463534708984758,0.5318681324987274,7.151445430466874,-18.140488430520148,-17.417306376157439,0.542824792324485,7.416426659605939,-18.140488430520148,-17.417306376157439,0.542824792324485,7.416426659605939,-18.2157595505444,-18.2157385022394,0.12131074934358233,-18.28248224981225,-20.305776176423938,0.6243095126739917,8.618881223085778,-18.209989619898335,-18.212483324387145,-0.02499863572129435,-0.02504810194089674 
 07/21  01:00:00,18.966,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7014948751547,28.85815022381393,-98.58786803770363,-98.49880553339011 
 07/21  02:00:00,18.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.420015962206784,28.57620231404014,-96.32258850085209,-96.83640680504891 
 07/21  03:00:00,17.731,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14655584941999,28.302053287843046,-94.17265414853836,-94.43277450929215 
 07/21  04:00:00,17.275000000000003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.87435156483064,28.0310617258582,-94.51618465061651,-94.40476110266721 
 07/21  05:00:00,16.913999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.605391961444896,27.761011688653896,-92.87001470855248,-93.2434899361206 
