Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.62249114992698 
 01/01  02:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.59611212510862 
 01/01  03:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.540602697059648 
 01/01  04:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.460379014483846 
 01/01  05:00:00,5.108333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.338395455288514 
 01/01  06:00:00,4.3999999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.22391052114575 
 01/01  07:00:00,5.391666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.21751658729308 
 01/01  08:00:00,5.458333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.19843861302235 
 01/01  09:00:00,6.633333333333333,21.409456008182905,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.220790034112019 
 01/01  10:00:00,8.441666666666667,22.56530388402209,21.0,21.0,21.0,21.0,21.002934028425444,21.0,21.0,21.0,21.0,17.36708127048131 
 01/01  11:00:00,9.191666666666667,22.403362993113448,21.0,21.0,21.0,21.0,20.996544064321108,21.0,21.0,21.0,21.0,17.45390409910578 
 01/01  12:00:00,9.75,21.419176869835338,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.510434473350864 
 01/01  13:00:00,10.350000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.562500519384235 
 01/01  14:00:00,10.891666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.623929347261023 
 01/01  15:00:00,12.733333333333335,21.0276849924354,21.0,21.00907684770827,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.79303486099581 
 01/01  16:00:00,13.9,21.178946124871194,21.0,21.2578975199033,21.0,21.0,21.0,21.0,21.005978527302145,21.0,21.0,18.000646568238179 
