Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.77494313196651 
 01/01  02:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.74342163642792 
 01/01  03:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.68387428627921 
 01/01  04:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,17.60031526662253 
 01/01  05:00:00,5.108333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.47552588740785 
 01/01  06:00:00,4.3999999999999999,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,21.0,21.0,21.0,17.35852904761109 
 01/01  07:00:00,5.391666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.34949324248299 
 01/01  08:00:00,5.458333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.327847641616974 
 01/01  09:00:00,6.633333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.349164854767048 
 01/01  10:00:00,8.441666666666667,21.0,21.0,21.061935683429974,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.49982491284979 
 01/01  11:00:00,9.191666666666667,21.0,21.0,21.63803801037471,21.0,21.0,21.0,21.0,21.163886282901428,21.0,21.0,17.619509605489538 
 01/01  12:00:00,9.75,21.0,21.0,22.06045019148692,21.0,21.0,21.0,21.0,21.524156296529083,21.005438125804415,21.0,17.73180765835572 
 01/01  13:00:00,10.350000000000002,21.0,21.0,22.434945519196324,21.0,21.0,21.0,21.0,21.911864529132214,21.128970716726898,21.0,17.846538949777103 
 01/01  14:00:00,10.891666666666666,21.0,21.0,22.851080570611896,21.0,21.0,21.0,21.0,22.34849960736156,21.337012813760166,21.0,17.96292675377782 
 01/01  15:00:00,12.733333333333335,21.0,21.0,23.355403746491047,21.0,21.0,21.0,21.0,22.860519646208116,21.652773638131668,21.0,18.167304882207629 
 01/01  16:00:00,13.9,21.0,21.0,23.30698039392503,21.0,21.0,21.0,21.0,22.803931441762374,21.587511768923723,21.0,18.37835374484149 
 01/01  17:00:00,12.266666666666666,21.0,21.0,22.354186715799217,21.0,21.0,21.0,21.0,21.89284745900625,21.06821074499682,21.0,18.332776894204938 
 01/01  18:00:00,11.1,21.0,21.0,21.685516852632515,21.0,21.0,21.0,21.0,21.307027483480906,21.0,21.0,18.1762391727143 
 01/01  19:00:00,10.808333333333332,21.0,21.0,21.50415904592344,21.0,21.0,21.0,21.0,21.132147837931226,21.0,21.0,18.103622437573539 
 01/01  20:00:00,10.600000000000002,21.0,21.0,21.384141965803328,21.0,21.0,21.0,21.0,21.01565156214522,21.0,21.0,18.049932385577667 
 01/01  21:00:00,9.608333333333333,21.0,21.0,21.193607887740155,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.96762798505934 
 01/01  22:00:00,9.191666666666667,21.0,21.0,21.003526700351477,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.890447893237029 
 01/01  23:00:00,8.466666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.823012892471565 
 01/01  24:00:00,7.158333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.693489952905169 
 01/02  01:00:00,7.983333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.674444323225634 
 01/02  02:00:00,7.266666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.624249593171795 
 01/02  03:00:00,5.808333333333333,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,21.0,21.0,17.468554635050237 
 01/02  04:00:00,4.608333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.340892696181418 
 01/02  05:00:00,4.891666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.273593506932177 
 01/02  06:00:00,6.533333333333332,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.324704321718558 
 01/02  07:00:00,7.55,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.361548126321176 
 01/02  08:00:00,7.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.33193886860216 
 01/02  09:00:00,9.183333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.395287258971476 
 01/02  10:00:00,11.241666666666668,21.0,21.000000000000005,21.044077014199904,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.58243299065115 
 01/02  11:00:00,12.983333333333333,21.0,21.0,21.520554960667814,21.0,21.0,21.0,21.0,21.075879320123357,21.00206650494041,21.0,17.773203648224237 
 01/02  12:00:00,13.9,21.0,21.0,22.337470527205445,21.0,21.0,21.0,21.0,21.763621035341925,21.265165066667725,21.0,17.954115187049135 
 01/02  13:00:00,13.9,21.0,21.0,23.019454744841587,21.0,21.0,21.0,21.0,22.423196860708179,21.627719009333448,21.0,18.061658670286908 
 01/02  14:00:00,13.9,21.0,21.0,23.05566351815439,21.0,21.0,21.0,21.0,22.46437225508534,21.5539461379332,21.0,18.160659108651854 
 01/02  15:00:00,12.908333333333334,21.0,21.0,23.05459918069658,21.0,21.0,21.0,21.0,22.516042258519108,21.536220662083769,21.0,18.17374646224791 
 01/02  16:00:00,12.550000000000003,21.0,21.0,22.866961257013228,21.0,21.0,21.0,21.0,22.346764937881905,21.39208546188429,21.0,18.173745760004917 
 01/02  17:00:00,11.808333333333336,21.0,21.0,22.058484619780548,21.0,21.0,21.0,21.0,21.548734916562883,21.028394915726456,21.0,18.147734664889538 
 01/02  18:00:00,10.808333333333332,21.0,21.0,21.45944906278874,21.0,21.0,21.0,21.0,21.038307629921154,21.0,21.0,18.01052326986748 
 01/02  19:00:00,11.241666666666668,21.0,21.0,21.336270884693403,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.97384210450389 
 01/02  20:00:00,11.700000000000001,21.0,21.0,21.317399818588027,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.990117698757005 
 01/02  21:00:00,10.708333333333334,21.0,21.0,21.137991823192399,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.91937571006374 
 01/02  22:00:00,9.358333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.795106311142005 
 01/02  23:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.73399739873848 
